# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,1.9289248370163405,2.986438092667852,-0.005035173958210049,0,3.0,-0.015136368344374927,0.0,0.0,0.0
 0.08910228376317654,1.9408336624280753,2.9864370461159377,-0.005035173958210049,0.26730685128952963,3.0,-0.015136368344374927,0.0,-0.28136750338510175,0.0
 0.12552895347154536,1.9525611137925662,2.9864339176532613,-0.015284455070687496,0.3765868604146361,3.0000000000000013,-0.015724398603291355,0.0,-0.37954827150165255,0.0
 0.15315312254645164,1.9641086538037422,2.986428724069427,-0.02576916069473758,0.45945936763935497,3.0,-0.016339745944699984,0.0,-0.4660947254038417,0.0
 0.1761683136035363,1.975477745155533,2.9864214821540376,-0.03649641985060641,0.528504940810609,3.0,-0.01698388346993197,0.0,-0.5478360274813477,0.0
 0.19620571059488418,1.9866698505418676,2.986412208696695,-0.04747362781941314,0.5886171317846526,3.0,-0.01765837700194263,0.0,-0.6276590831647961,0.0
 0.21410528438619386,1.9976864326566761,2.9864009204870037,-0.05870845789430719,0.6423158531585816,3.0,-0.01836488728891263,0.0,-0.7071635515108552,0.0
 0.23036802278185214,2.008528954193887,2.9863876343145654,-0.07020887373547284,0.6911040683455565,3.0,-0.019105179985284777,0.0,-0.7873850595764127,0.0
 0.2453216574989017,2.0191988778474306,2.986372366968984,-0.08198314229804082,0.7359649724967051,2.9999999999999982,-0.019881129751430686,0.0,-0.869071329852172,0.0
 0.2591947479690154,2.0296976663112356,2.986355135239861,-0.09403984748206205,0.7775842439070464,3.000000000000006,-0.02069472881115564,0.0,-0.952809223282432,0.0
 0.27215438000805253,2.0400267822792317,2.9863359559168012,-0.10638790441920312,0.8164631400241577,2.9999999999999956,-0.021548099046624792,0.0,-1.0390909068243952,0.0
 0.2843272034487336,2.050187688445348,2.9863148457894058,-0.11903657456679363,0.8529816103462008,3.0,-0.02244349516601598,0.0,-1.128351594516932,0.0
 0.29581201633317106,2.0601818475035145,2.9862918216472782,-0.13199548149767726,0.8874360489995133,3.0000000000000098,-0.023383316685048887,0.0,-1.2209927126487001,0.0
 0.3066877127732446,2.07001072214766,2.9862669002800213,-0.14527462759598644,0.920063138319734,3.000000000000005,-0.024370123130970693,0.0,-1.3173970092342706,0.0
 0.31701852715012857,2.0796757750717134,2.986240098477239,-0.15888441155904784,0.9510555814503858,2.9999999999999893,-0.02540663468474682,0.0,-1.4179389908178544,0.0
 0.3268576213664245,2.0891784689696054,2.9862114330285325,-0.17283564688266426,0.9805728640992736,3.0,-0.02649575491530315,0.0,-1.5229925033286302,0.0
 0.33624961399070996,2.0985202665352642,2.9861809207235064,-0.18713958124076882,1.00874884197213,3.0,-0.027640579118334285,0.0,-1.6329365521259094,0.0
 0.3452324098817314,2.10770263046262,2.986148578351763,-0.2018079169915041,1.0356972296451943,3.000000000000006,-0.02884440774645674,0.0,-1.7481599722700172,0.0
 0.35383855345648,2.1167270234456024,2.986114422702904,-0.2168528327044885,1.0615156603694402,3.0,-0.03011076270031769,0.0,-1.8690653788100458,0.0
 0.3620962491557463,2.1255949081781402,2.986078470566534,-0.23228700584473566,1.0862887474672391,3.0000000000000133,-0.031443406032199736,0.0,-1.9960726680578234,0.0
 0.37003014413729296,2.1343077473541627,2.9860407387322554,-0.24812363676864213,1.1100904324118792,3.000000000000007,-0.03284635402032976,0.0,-2.1296222136592404,0.0
 0.37766193770629153,2.1428670036675994,2.9860012439896706,-0.2643764738832432,1.132985813118875,3.0000000000000147,-0.03432389956315642,0.0,-2.2701779395932093,0.0
 0.3850108622579834,2.1512741398123794,2.9859600031283833,-0.28105984028022907,1.1550325867739508,3.000000000000015,-0.03588063143728112,0.0,-2.4182303206910443,0.0
 0.39209406743087294,2.1595306184824326,2.9859170329379956,-0.29818866179698617,1.1762822022926194,3.0,-0.037521458999688645,0.0,-2.574299395296945,0.0
 0.3989269303125782,2.1676379023716885,2.985872350208111,-0.3157784965815069,1.1967807909377353,3.0000000000000164,-0.039251634546022984,0.0,-2.738937863140978,0.0
 0.40552330842385126,2.175597454174076,2.9858259717283326,-0.33384556635006707,1.2165699252715545,3.0000000000000084,-0.04107678282384358,0.0,-2.912734289097068,0.0
 0.4118957479062811,2.183410736583525,2.9857779142882626,-0.35240678933573644,1.235687243718844,3.0,-0.043002926400040095,0.0,-3.096316471960612,0.0
 0.41805565626728425,2.1910792122939644,2.9857281946775043,-0.3714798150596784,1.2541669688018533,2.999999999999973,-0.045036520666431656,0.0,-3.290355023268104,0.0
 0.42401344680904096,2.198604343999324,2.9856768296856604,-0.3910830610963268,1.2720403404271234,3.0,-0.047184487131837954,0.0,-3.495567165792048,0.0
 0.42977866023174954,2.205987594393533,2.985623836102334,-0.4112357518405305,1.2893359806952491,2.9999999999999902,-0.049454249565956655,0.0,-3.712720819435742,0.0
 0.435360067684423,2.2132304261705205,2.9855692307171284,-0.43195795949182497,1.3060802030532694,3.0,-0.051853774683691026,0.0,-3.9426389930700387,0.0
 0.4407657586206362,2.220334302024216,2.9855130303196455,-0.4532706473614246,1.3222972758619091,3.0,-0.05439161810495597,0.0,-4.18620450929649,0.0
 0.4460032161203,2.227300684648549,2.985455251699489,-0.4751957155637657,1.3380096483609003,2.9999999999999787,-0.057076970464690305,0.0,-4.434258263820964,0.0
