# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,1.8781471686166127,1.5861549258643535,-0.5547137097374705,0,3.0,-4.5229864651896134,0.0,0.0,0.0
 0.053670284243267884,1.8824677152359277,1.5861130948368551,-0.5547137097374705,0.16101085272980367,3.0000000000000004,-4.5229864651896134,0.0,-50.49715000230562,0.0
 0.07576475761683946,1.8867555909223732,1.5859880491450289,-1.6704216459046617,0.2272942728505184,3.0000000000000004,-4.5811805127407705,0.0,-66.52812747377894,0.0
 0.09263269095212565,1.8910113063430753,1.585780459874877,-2.7926136650537865,0.27789807285637697,3.0,-4.633269272801077,0.0,-79.66158912762754,0.0
 0.10678700077329141,1.89523537216516,1.5854909981124023,-3.9201684784126365,0.32036100231987424,2.999999999999999,-4.678916220142376,0.0,-91.14436658358579,0.0
 0.11920423368254392,1.8994282990557534,1.5851203349436078,-5.051929306647312,0.35761270104763176,3.0,-4.717824308090387,0.0,-101.47580778996348,0.0
 0.13038700319209218,1.9035905976819818,1.5846691414544953,-6.186709875957696,0.3911610095762766,3.0000000000000036,-4.749740407367017,0.0,-110.90816568707976,0.0
 0.14063503985259865,1.9077227787109712,1.5841380887310683,-7.323300823868415,0.421905119557796,3.0000000000000027,-4.774459106607839,0.0,-119.5842688378717,0.0
 0.15014444788637302,1.9118253528098474,1.5835278478593289,-8.460476430668306,0.4504333436591191,2.9999999999999942,-4.791825768090762,0.0,-127.59055428314868,0.0
 0.15905204421414249,1.9158988306457367,1.5828390899252798,-9.597001583458953,0.47715613264242757,3.0000000000000093,-4.801738755914974,0.0,-134.98167386585035,0.0
 0.16745790597399546,1.9199437228857654,1.582072486014924,-10.73163887408885,0.5023737179219865,3.0,-4.804150774542505,0.0,-141.79339888622718,0.0
 0.17543794498205809,1.9239605401970596,1.581228707214264,-11.863155728286726,0.5263138349461743,2.9999999999999964,-4.7990692846865155,0.0,-148.05000690129432,0.0
 0.18305142476424308,1.927949793246745,1.5803084246093022,-12.990331462582079,0.5491542742927293,3.0000000000000036,-4.786555990686761,0.0,-153.7687925800488,0.0
 0.19034570526315878,1.9319119927019481,1.5793123092860413,-14.111964167640542,0.5710371157894765,3.000000000000004,-4.766725421270228,0.0,-158.96295617744235,0.0
 0.19735937171903678,1.9358476492297951,1.5782410323304843,-15.226877321109473,0.5920781151571105,3.000000000000004,-4.7397426534733516,0.0,-163.64351461978055,0.0
 0.20412437381463083,1.9397572734974118,1.5770952648286334,-16.333926040442666,0.6123731214438927,3.0,-4.705820252474172,0.0,-167.82058954583715,0.0
 0.21066753313595207,1.9436413761719245,1.5758756778664913,-17.432002895239137,0.6320025994078564,3.0000000000000044,-4.665214523096152,0.0,-171.50427837717496,0.0
 0.21701163326712636,1.9475004679204588,1.5745829425300613,-18.52004321018872,0.6510348998013793,3.0000000000000044,-4.6182211823794015,0.0,-174.70523443141857,0.0
 0.22317622584648525,1.9513350594101415,1.5732177299053451,-19.5970298019398,0.669528677539456,3.0000000000000044,-4.56517057616256,0.0,-177.43503708994868,0.0
 0.22917823831411968,1.9551456613080984,1.571780711078346,-20.66199710674885,0.6875347149423593,3.0,-4.50642256902949,0.0,-179.7064066513755,0.0
 0.2350324400792185,1.9589327842814557,1.5702725571350662,-21.7140346697669,0.7050973202376558,3.0000000000000093,-4.4423612365611485,0.0,-181.53330241391507,0.0
 0.24075180559899514,1.9626969389973392,1.568693939161509,-22.75228998028423,0.7222554167969858,3.0000000000000098,-4.373389487686272,0.0,-182.93093254568342,0.0
 0.24634780107247634,1.9664386361228752,1.5670455282436762,-23.77597065076957,0.7390434032174293,2.999999999999995,-4.299923734897464,0.0,-183.91569762479804,0.0
 0.2518306136431403,1.9701583863251901,1.565327995467571,-24.784345949649243,0.7554918409294211,2.9999999999999796,-4.2223887217168725,0.0,-184.50508529605023,0.0
 0.25720933671695645,1.9738567002714098,1.5635420119191958,-25.776747709167527,0.7716280101508696,3.0,-4.141212600155286,0.0,-184.71753012073282,0.0
 0.26249212135153654,1.97753408862866,1.5616882486845536,-26.75257063902692,0.78747636405461,3.000000000000021,-4.056822337593375,0.0,-184.57225031641366,0.0
 0.26768630110630154,1.9811910620640674,1.5597673768496467,-27.711272084911855,0.803058903318905,3.0,-3.9696395148492636,0.0,-184.08907097354015,0.0
 0.2727984959111759,1.9848281312447578,1.5577800675004778,-28.65237127717693,0.818395487733528,3.0,-3.880076560799465,0.0,-183.28824169910934,0.0
 0.2778346991834503,1.9884458068378572,1.5557269917230498,-29.575448119791403,0.8335040975503512,3.0,-3.7885334530435086,0.0,-182.19025515053517,0.0
 0.2828003514472577,1.9920445995104923,1.553608820603365,-30.480141572723305,0.8484010543417734,3.0,-3.6953948982880434,0.0,-180.8156716025158,0.0
 0.2877004029850974,1.9956250199297885,1.551426225227426,-31.36614768242474,0.8631012089552926,3.0000000000000115,-3.6010279939808023,0.0,-179.18495356793613,0.0
 0.29253936750576043,1.9991875787628721,1.549179876681236,-32.23321731537663,0.8776181025172817,3.0,-3.5057803595556085,0.0,-177.31831342472506,0.0
 0.2973213683988791,2.0027327866768694,1.546870446050797,-33.08115364853997,0.8919641051966377,2.9999999999999885,-3.4099787164837485,0.0,-175.23557610591126,0.0
 0.3020501788287059,2.0062611543389064,1.5444986044221123,-33.9098094685063,0.906150536486118,3.0,-3.313927889307288,0.0,-172.95605815793547,0.0
